================ CalculatePixGain PixGain 117 :  : -9.522876e+01 =  0.000000e+00 C2BE7520 00000000 11000010101111100111010100100000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 118 :  : -9.117647e+01 =  0.000000e+00 C2B65A5A 00000000 11000010101101100101101001011010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 119 :  : -9.624183e+01 =  0.000000e+00 C2C07BD1 00000000 11000010110000000111101111010001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 120 :  : -8.003268e+01 =  0.000000e+00 C2A010BB 00000000 11000010101000000001000010111011 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 121 :  : -9.421568e+01 =  0.000000e+00 C2BC6E6E 00000000 11000010101111000110111001101110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 122 :  : -9.016340e+01 =  0.000000e+00 C2B453A9 00000000 11000010101101000101001110101001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 123 :  : -9.421568e+01 =  0.000000e+00 C2BC6E6E 00000000 11000010101111000110111001101110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 124 :  : -8.408497e+01 =  0.000000e+00 C2A82B81 00000000 11000010101010000010101110000001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 125 :  : -9.624183e+01 =  0.000000e+00 C2C07BD1 00000000 11000010110000000111101111010001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 126 :  : -8.813725e+01 =  0.000000e+00 C2B04646 00000000 11000010101100000100011001000110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 127 :  : -9.624183e+01 =  0.000000e+00 C2C07BD1 00000000 11000010110000000111101111010001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 128 :  : -7.800654e+01 =  0.000000e+00 C29C0359 00000000 11000010100111000000001101011001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 129 :  : -8.205882e+01 =  0.000000e+00 C2A41E1E 00000000 11000010101001000001111000011110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 130 :  : -7.598039e+01 =  0.000000e+00 C297F5F6 00000000 11000010100101111111010111110110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 131 :  : -8.712418e+01 =  0.000000e+00 C2AE3F95 00000000 11000010101011100011111110010101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 132 :  : -7.901961e+01 =  0.000000e+00 C29E0A0A 00000000 11000010100111100000101000001010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 133 :  : -8.408497e+01 =  0.000000e+00 C2A82B81 00000000 11000010101010000010101110000001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 134 :  : -7.901961e+01 =  0.000000e+00 C29E0A0A 00000000 11000010100111100000101000001010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 135 :  : -9.117647e+01 =  0.000000e+00 C2B65A5A 00000000 11000010101101100101101001011010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 136 :  : -7.699346e+01 =  0.000000e+00 C299FCA7 00000000 11000010100110011111110010100111 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 137 :  : -8.611111e+01 =  0.000000e+00 C2AC38E4 00000000 11000010101011000011100011100100 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 138 :  : -8.003268e+01 =  0.000000e+00 C2A010BB 00000000 11000010101000000001000010111011 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 139 :  : -9.320261e+01 =  0.000000e+00 C2BA67BD 00000000 11000010101110100110011110111101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 140 :  : -8.003268e+01 =  0.000000e+00 C2A010BB 00000000 11000010101000000001000010111011 00000000000000000000000000000000 ().
